Date,Number of Orders,Status of Order, Total CBV ,Service,,,,Data Dictionary
2016-01-05,30,No Driver Found,"  6,197,100 ",GO-MASSAGE,,,,
2016-01-05,4200,No Driver Found,"  85,731,100 ",GO-RIDE,,,,
2016-01-05,130,No Driver Found,"  4,262,440 ",GO-SEND,,,,
2016-01-05,20,No Driver Found,"  442,260 ",GO-SHOP,,,,
2016-01-05,1240,Other,"  25,807,600 ",GO-FOOD,,,,
2016-01-05,0,Other,"  27,300 ",GO-KILAT,,,,
2016-01-05,0,Other,"  18,200 ",GO-MART,,,,
2016-01-05,0,Other,"  300,300 ",GO-MASSAGE,,,,
2016-01-05,740,Other,"  16,778,580 ",GO-RIDE,,,,
2016-01-05,60,Other,"  2,420,600 ",GO-SEND,,,,
2016-01-05,50,Other,"  1,503,320 ",GO-SHOP,,,,
2016-01-06,190,Cancelled,"  74,894,820 ",GO-BOX,,,,
2016-01-06,10,Cancelled,"  2,466,100 ",GO-CLEAN,,,,
2016-01-06,36480,Cancelled,"  636,326,600 ",GO-FOOD,,,,
2016-01-06,10,Cancelled,"  919,100 ",GO-GLAM,,,,
2016-01-06,0,Cancelled,"  27,300 ",GO-KILAT,,,,
2016-01-06,1850,Cancelled,"  25,844,000 ",GO-MART,,,,
2016-01-06,50,Cancelled,"  10,501,400 ",GO-MASSAGE,,,,
2016-01-06,56210,Cancelled,"  1,310,980,580 ",GO-RIDE,,,,
2016-01-06,5980,Cancelled,"  237,489,980 ",GO-SEND,,,,
2016-01-06,12760,Cancelled,"  335,016,500 ",GO-SHOP,,,,
2016-01-06,170,Cancelled,  -   ,GO-TIX,,,,
2016-01-06,530,Completed,"  213,135,195 ",GO-BOX,,,,
2016-01-06,130,Completed,"  21,284,900 ",GO-CLEAN,,,,
2016-01-06,69770,Completed,"  1,178,804,900 ",GO-FOOD,,,,
2016-01-06,50,Completed,"  7,957,950 ",GO-GLAM,,,,
2016-01-06,20,Completed,"  518,700 ",GO-KILAT,,,,
2016-01-06,2570,Completed,"  35,981,400 ",GO-MART,,,,
2016-01-06,360,Completed,"  69,726,020 ",GO-MASSAGE,,,,
2016-01-06,351810,Completed,"  7,360,100,020 ",GO-RIDE,,,,
2016-01-06,32010,Completed,"  1,180,064,340 ",GO-SEND,,,,
2016-01-06,17210,Completed,"  424,151,000 ",GO-SHOP,,,,
2016-01-06,20,Completed,  -   ,GO-TIX,,,,
2016-01-06,20,Failed/Timeout,"  273,000 ",GO-TIX,,,,
2016-01-06,70,No Driver Found,"  38,929,800 ",GO-BOX,,,,
2016-01-06,10,No Driver Found,"  1,537,900 ",GO-CLEAN,,,,
2016-01-06,1470,No Driver Found,"  30,894,500 ",GO-FOOD,,,,
2016-01-06,10,No Driver Found,"  2,502,500 ",GO-GLAM,,,,
2016-01-06,10,No Driver Found,"  127,400 ",GO-MART,,,,
2016-01-06,20,No Driver Found,"  3,758,300 ",GO-MASSAGE,,,,
2016-01-06,1650,No Driver Found,"  37,992,500 ",GO-RIDE,,,,
2016-01-06,90,No Driver Found,"  3,339,700 ",GO-SEND,,,,
2016-01-06,70,No Driver Found,"  1,885,520 ",GO-SHOP,,,,
